step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
78,1.134699821472168,0.800000011920929,,1.0948755264282226,0.8,,,,,2025-10-25T16:57:20.6960000Z
79,1.0495837926864624,0.800000011920929,,1.1578413009643556,0.8,,,,,2025-10-25T16:57:21.9880000Z
80,2.1822848320007324,0.6000000238418579,,1.1071638107299804,0.8,,,,,2025-10-25T16:57:23.3430000Z
81,1.0233361721038818,0.800000011920929,,1.0982595443725587,0.8,,,,,2025-10-25T16:57:24.6400000Z
82,0.9763851165771484,0.800000011920929,,1.0445331573486327,0.8,,,,,2025-10-25T16:57:25.9510000Z
83,0.9133149981498718,0.800000011920929,,1.155088233947754,0.8,,,,,2025-10-25T16:57:27.2700000Z
84,2.5837132930755615,0.6000000238418579,,1.0665571212768554,0.8,,,,,2025-10-25T16:57:28.6320000Z
85,1.3795146942138672,0.800000011920929,,0.9338716506958008,0.8,,,,,2025-10-25T16:57:30.1840000Z
86,2.7315673828125,0.6000000238418579,,0.9833032608032226,0.8,,,,,2025-10-25T16:57:31.5080000Z
87,1.3859279155731201,0.800000011920929,,1.247018814086914,0.8,,,,,2025-10-25T16:57:32.8180000Z
88,2.1484146118164062,0.6000000238418579,,1.1659318923950195,0.8,,,,,2025-10-25T16:57:34.1450000Z
89,2.809731960296631,0.6000000238418579,,1.2584980010986329,0.8,,,,,2025-10-25T16:57:35.4710000Z
90,1.0889644622802734,0.800000011920929,,1.392207145690918,0.8,,,,,2025-10-25T16:57:36.8160000Z
91,0.8508293032646179,0.800000011920929,,1.3067337036132813,0.8,,,,,2025-10-25T16:57:38.1150000Z
92,1.1596994400024414,0.800000011920929,,1.4283624649047852,0.8,,,,,2025-10-25T16:57:39.4380000Z
93,2.2079272270202637,0.6000000238418579,,1.4137727737426757,0.8,,,,,2025-10-25T16:57:40.7550000Z
94,0.930223286151886,0.800000011920929,,1.4713052749633788,0.8,,,,,2025-10-25T16:57:42.0580000Z
95,1.025644302368164,0.800000011920929,,1.3415208816528321,0.8,,,,,2025-10-25T16:57:43.3710000Z
96,1.2870969772338867,0.800000011920929,,1.421973991394043,0.8,,,,,2025-10-25T16:57:44.6870000Z
97,1.303929090499878,0.800000011920929,,1.0135746002197266,0.8,,,,,2025-10-25T16:57:46.0030000Z
98,0.9788709878921509,0.800000011920929,,1.215382194519043,0.8,,,,,2025-10-25T16:57:47.3040000Z
99,0.7161380648612976,1,,1.0926057815551757,0.8,,,,,2025-10-25T16:57:48.6170000Z
100,0.8931425213813782,0.800000011920929,,1.2243476867675782,0.8,,,,,2025-10-25T16:57:50.0030000Z
101,0.978398323059082,0.800000011920929,,0.957366943359375,0.8,,,,,2025-10-25T16:57:51.3140000Z
102,1.1810591220855713,0.800000011920929,,1.1917198181152344,0.8,,,,,2025-10-25T16:57:52.6290000Z
103,1.5092699527740479,0.800000011920929,,1.1698945999145507,0.8,,,,,2025-10-25T16:57:53.9550000Z
104,0.8367395401000977,0.800000011920929,,1.5017017364501952,0.8,,,,,2025-10-25T16:57:55.2720000Z
105,1.1395772695541382,0.800000011920929,,1.388962173461914,0.8,,,,,2025-10-25T16:57:56.5770000Z
106,1.7047964334487915,0.800000011920929,,1.358073616027832,0.8,,,,,2025-10-25T16:57:57.8810000Z
107,1.6464792490005493,0.800000011920929,,1.4316766738891602,0.8,,,,,2025-10-25T16:57:59.2100000Z
108,1.0634666681289673,0.800000011920929,,1.4252260208129883,0.8,,,,,2025-10-25T16:58:00.5300000Z
109,0.7859207391738892,0.800000011920929,,1.4275745391845702,0.8,,,,,2025-10-25T16:58:01.8450000Z
110,2.2011685371398926,0.6000000238418579,,1.517567253112793,0.8,,,,,2025-10-25T16:58:03.2200000Z
111,1.290384292602539,0.800000011920929,,1.3534736633300781,0.8,,,,,2025-10-25T16:58:04.5350000Z
112,1.121677041053772,0.800000011920929,,1.2930984497070312,0.8,,,,,2025-10-25T16:58:05.8420000Z
113,1.0954639911651611,0.800000011920929,,1.2744270324707032,0.8,,,,,2025-10-25T16:58:07.1480000Z
114,0.8078449368476868,0.800000011920929,,1.3518224716186524,0.8,,,,,2025-10-25T16:58:08.4640000Z
115,1.052040696144104,0.800000011920929,,1.1976369857788085,0.8,,,,,2025-10-25T16:58:09.7780000Z
116,0.834503173828125,0.800000011920929,,1.329871940612793,0.8,,,,,2025-10-25T16:58:11.0780000Z
117,2.1284239292144775,0.6000000238418579,,1.1447616577148438,0.8,,,,,2025-10-25T16:58:12.3780000Z
118,1.907970666885376,0.6000000238418579,,1.0353706359863282,0.8,,,,,2025-10-25T16:58:13.6750000Z
119,1.2091248035430908,0.800000011920929,,1.2409868240356445,0.8,,,,,2025-10-25T16:58:14.9860000Z
120,1.7810983657836914,0.800000011920929,,1.1563570022583007,0.8,,,,,2025-10-25T16:58:16.3370000Z
121,3.012139081954956,0.6000000238418579,,1.1117128372192382,0.8,,,,,2025-10-25T16:58:17.6370000Z
122,3.266378402709961,0.6000000238418579,,1.4322425842285156,0.8,,,,,2025-10-25T16:58:18.9380000Z
123,0.8363977670669556,0.800000011920929,,1.3346696853637696,0.8,,,,,2025-10-25T16:58:20.2670000Z
124,1.1148338317871094,0.800000011920929,,1.3928260803222656,0.8,,,,,2025-10-25T16:58:21.5810000Z
125,0.868299126625061,0.800000011920929,,1.3323741912841798,0.8,,,,,2025-10-25T16:58:22.8990000Z
126,0.9064128994941711,0.800000011920929,,1.3044443130493164,0.8,,,,,2025-10-25T16:58:24.1970000Z
127,1.1614782810211182,0.800000011920929,,1.3348255157470703,0.8,,,,,2025-10-25T16:58:25.4870000Z
128,0.9213274121284485,0.800000011920929,,1.2229579925537108,0.8,,,,,2025-10-25T16:58:26.7870000Z
129,0.8703867197036743,0.800000011920929,,1.18646297454834,0.8,,,,,2025-10-25T16:58:28.0750000Z
130,1.0492360591888428,0.800000011920929,,1.3202642440795898,0.8,,,,,2025-10-25T16:58:29.4260000Z
131,2.276416540145874,0.6000000238418579,,1.2217002868652345,0.8,,,,,2025-10-25T16:58:30.8410000Z
132,0.8866876363754272,0.800000011920929,,1.3593927383422852,0.8,,,,,2025-10-25T16:58:32.1630000Z
133,1.5026763677597046,0.800000011920929,,1.2456245422363281,0.8,,,,,2025-10-25T16:58:33.5040000Z
134,0.737261950969696,0.800000011920929,,1.2232995986938477,0.8,,,,,2025-10-25T16:58:34.8160000Z
135,1.3529493808746338,0.800000011920929,,1.1880693435668945,0.8,,,,,2025-10-25T16:58:36.1210000Z
136,0.7647857666015625,0.800000011920929,,1.1556224822998047,0.8,,,,,2025-10-25T16:58:37.4220000Z
137,1.6660610437393188,0.800000011920929,,1.0514320373535155,0.8,,,,,2025-10-25T16:58:38.7130000Z
138,1.068640947341919,0.800000011920929,,1.0993692398071289,0.8,,,,,2025-10-25T16:58:40.0150000Z
139,1.32411789894104,0.800000011920929,,0.9887491226196289,0.8,,,,,2025-10-25T16:58:41.3180000Z
140,1.0092628002166748,0.800000011920929,,1.1465255737304687,0.8,,,,,2025-10-25T16:58:42.6750000Z
141,0.9299682378768921,0.800000011920929,,1.0149187088012694,0.8,,,,,2025-10-25T16:58:43.9880000Z
142,2.2719156742095947,0.6000000238418579,,1.1061267852783203,0.8,,,,,2025-10-25T16:58:45.2840000Z
143,1.656110167503357,0.800000011920929,,1.068075942993164,0.8,,,,,2025-10-25T16:58:46.5880000Z
144,2.229168653488159,0.6000000238418579,,1.2696197509765625,0.8,,,,,2025-10-25T16:58:47.8850000Z
145,1.9241660833358765,0.6000000238418579,,1.1895959854125977,0.8,,,,,2025-10-25T16:58:49.1830000Z
146,1.275806188583374,0.800000011920929,,1.2218662261962892,0.8,,,,,2025-10-25T16:58:50.4820000Z
147,2.1412081718444824,0.6000000238418579,,1.1996078491210938,0.8,,,,,2025-10-25T16:58:51.7870000Z
148,1.868951439857483,0.6000000238418579,,1.2401880264282226,0.8,,,,,2025-10-25T16:58:53.0820000Z
149,2.0945234298706055,0.6000000238418579,,1.1536418914794921,0.8,,,,,2025-10-25T16:58:54.3740000Z
150,1.3336923122406006,0.800000011920929,,1.3602741241455079,0.8,,,,,2025-10-25T16:58:55.7060000Z
151,0.8759037256240845,0.800000011920929,,1.344690704345703,0.8,,,,,2025-10-25T16:58:56.9940000Z
152,0.8574692010879517,0.800000011920929,,1.2796655654907227,0.8,,,,,2025-10-25T16:58:58.3200000Z
153,1.042578935623169,0.800000011920929,,1.3023170471191405,0.8,,,,,2025-10-25T16:58:59.6320000Z
154,1.1409412622451782,0.800000011920929,,1.3403682708740234,0.8,,,,,2025-10-25T16:59:00.9140000Z
155,1.1262506246566772,0.800000011920929,,1.2818397521972655,0.8,,,,,2025-10-25T16:59:02.2170000Z
